ID,Text_Number,Name,Description,Contributor,Citation,Examples_Count,Media_Reference
A_01_4-am,1,Am,"The story of Am waThe text begins with a genealogical overview of the narrator Usi Kul and his clan. He then continues with the story of the ancestor Am, as announced in Sequence 5. However, in Sequence 9 a person called Bu is introduced who is supposed to fulfil people’s basic needs. Am, on the other hand, is associated with the upbringing of boys and social life in general (Sequences 10-14). In the past, it was common for boys to be separated from their mothers at a certain age and grow up in a male-dominated environment. Interestingly, four women are mentioned who took care of the boys in this male-dominated world. They may have been foster mothers and even breastfed the boys. This has not been confirmed, however. Then it continues with some historical facts about the settlement and how the settlements have changed. Access to water is important, but so is the personal connection to a particular piece of land. Finally, the story ends with a reference to Bu and Am, both of which seem to be of equal importance. In essence, the story of Am represents the genealogical lineage of the clans of the people living in Omoi and the surrounding hamlets today. The narrator blends the local indigenous tradition with modern developments; in particular, he interprets the loss of the old male cult houses of discussion and consensus, namely the house tambaran, in the light of the new House of Parliament in Port Moresby, where the nationwide political debates now take place. Secondly, he integrates a Christian biblical figure, namely Noah, as an ancestor who gave the people special power, thus relating them to God as the ultimate creator. Seen from the outside, the parallelism of two completely different ancestral lines may seem strange; for the people themselves, it is very probably an attempt to anchor themselves in both worlds, the traditional and the modern. In economic terms, the ancient period is often talked about as a “golden age” in which people lived in abundance.s originally told by Usi Kul in Onume/Omoi village in Septem- ber 2000. Usi Kul tells the story of his ancestors and their way of life as he in- terprets it in the light of the “new world” that the people experience after the encounter with the whites. The story was then retold by Margaret Osi in an abridged version, which was subsequently transcribed. It should be mentioned that Usi Kul also gave a version of the story in Tok Pisin. In this version he included parlando phrases which made his narrative performance very special. Most of the names of persons and clans he presented in this parlando mode. I include his Tok Pisin version as a parallel text at the end of this chapter.",Usi Kul,"Usi Kul. 2026. Am. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",40,
A_02_4-si,2,Si yelo piyo ,"The text provides the genealogy of the clan of Lis Osi, late husband of Margaret Osi (Sequences 1-5). The social organisation of the Kilmeri is strictly patrilineal. Lis Osi is a member of the greater Imop clan that split into several subclans whose members now live in Ossima, Isi I, and Isi II, respectively. Lis Osi is called Imop eme, which means ‘of Imop origin’. The second part of the text describes Si’s land appropriation, starting with Sequence 6. Some of the sections of bush claimed by him are named and explic- itly listed here, and the names go back to people who died a long time ago. In Sequence 8, the separation of the lineage between Isi Daru and Ossima is men- tioned. The long journey of Si corresponds to the fact that the eastern villages, including Ossima, are the furthest away from the swampy basin around Bewani, which is where the first arrivals from the west came. This migration route of the Kilmeri can also be verified linguistically (Gerstner-Link 2023). The journey itself is not mentioned; the main purpose of this narrative is to substantiate the land claims in the Puwani-Pual basin. The importance of this kind of oral tradition is shown by the fact that Margaret Osi recited it to me twice, three years apart. Today, land claims are crucial for the distribution of royalties from logging.",Margaret Osi,"Margaret Osi. 2026. Si yelo piyo . In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",12,
A_03_4-sak,3,Sakou,"The story recounts the creation of the ``golden world'' in which the Kilmeri once lived. Sakou was the creator of all kinds of food, especially wild animals and sago. He grew up as an abandoned boy far away from his family and lived alone in the forest. By staying in a tree, he was able to sustain himself. Through clever behaviour, he also managed to trick an evil bush spirit and get rid of it. He eventually moved to a second tree that grew very tall. Two sisters were living in its crown and took care of him. When the bush spirit returned, the three people tried to trick it. At first, the two women tried to overpower it, but without success. Finally, Sakou came up with the idea of feeding the people of a village to the bush spirit. The bush spirit was unsuccessful in devouring a large man, whereupon it died. After the bush spirit's death, the three returned to Sakou's original village, where his nephew recognised him as his uncle. The clan welcomed him, but Sakou saw that the people were eating poor food. So he showed them what he himself was eating. Whilst the people were asleep, he scattered all kinds of seeds on the ground, and after sunrise, in the early morning, the world looked different and offered plenty of good food. Since then, all the clans have been living together with Sakou.  The outline of the story is: (i) The hero grows up away from his family, (ii) he defeats a bush spirit, sacrificing the inhabitants of an entire village in the process, (iii) he receives support from two women, (iv) he returns to his people and his village and helps them to a much better life.  An interpretation of the story leads to the question why an entire village was sacrificed. We can even rephrase the question as: The inhabitants of which village were massacred? The answer to this is speculative, but it may reflect the fact that the Kilmeri invaded the Pual Puwani river basin. So the story would describe the displacement and killing of the putative former inhabitants. These earlier people may have travelled inland from the coast and had a different diet, more fish and less sago. This would explain two details of the story. Firstly, even Sakou's own people had ``fish mouths''; and secondly, Sakou was the creator of wild animals and various types of nutritious sago. In addition, the bush spirit, as a representative of evil, is a legacy of the forest people inland.  ",Margaret Osi,"Margaret Osi. 2026. Sakou. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",84,
A_04_4-saul,4,Haus Tambaran,"The text is Margaret Osi's personal recollection of the time and lifestyle before modern development came along with the Australian colonial administration and the Catholic mission. Margaret was about twenty years old at the time the mission was established. As a teenager, she would accompany her father to Vanimo and experienced the early days of the town. However, life in the bush was still very traditional back then. Margaret's generation is thus the last to have grown up on the firm ground of indigenous heritage.  The stories of \textit{Am} (\textref{sc0201}), \textit{Sakou} (\textref{sc0302}), and \textit{Haus Tambaran} all revolve around the availability of food. The heroes Am/Bu and Sakou are well known for providing food, and the stories are dedicated to their memory. The ceremonies that took place at the \textit{haus tambaran} likewise served the purpose of securing food. The staple food that is mentioned again and again is sago, together with game meat. Such food is the basic prerequisite for any further prosperity. Interestingly, rice is also mentioned as a foodstuff in the story of Am (Text \ref{sc0201}, Sequence \ref{ex:nrexpalime}).  ",Margaret Osi,"Margaret Osi. 2026. Haus Tambaran. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",27,
A_05_4-wap,5,Wapues,"The young girl Wapues was abandoned by her family and left alone in the bush. One day, a stranger came to her bush house wanting to stay with her. He looked ugly, black and fat and she wanted to get rid of him. While she was away in the sago swamp, he went to the river and cleansed his body of all the salt it contained. In this way, it is said, he introduced people to the resource of salt. Consequently, his appearance changed, and he became young and handsome. As a result, the girl accepted him as her husband, and they had five children. Together with their son, Wapues' parents left the old village of Ossima to look for a new, perhaps more resourceful place. Wapues and her husband Siyu stayed in Ossima.  The name Siyu suggests that the bearer's ancestry goes back to the ancestor Si. Possibly the name means ‘Si place’ and contains the noun \textit{yo} ‘place’. The name \textit{Siyu} was sometimes pronounced as \textit{Siyou}.  Interpretation and message: The story bears witness to the founding of a new settlement, the present-day village of Omula and its surroundings. It also attests to the common practice of exchanging wives between clans, as Wapues’ clan is obliged to provide wives to Siyu’s clan that settles in Ossima. The girls had to give up their ties to their families in favour of their husbands' families. This does not seem to have been easy, as shown by the image of the adult Wapues still clinging to her mother's breast. Wapues is reluctant to fulfil her marital duties.  Finally, the story explains the origin of salt as a resource. ",Margaret Osi,"Margaret Osi. 2026. Wapues. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",39,
A_06_4-raun,6,The spellbound lake,"The story is about how a clan got punished for neglecting two orphaned children. The orphaned children left their village, went into the bush and met their ``grandmother'' who dwells like a bush spirit at the bottom of a pond. The grandmother supported the children and she causes heavy rainfall through magic (Sequence \ref{ex:nrexsilpok}). The first effect of the rain was frogs and fish appearing in abundance, which the people collected. The second effect was a flood in which people drowned (Sequence \ref{ex:nrexinerna}). The remaining people were killed by a man named Buoko, whose identity is unclear. Two entire clans were wiped out (Sequence \ref{ex:nrexinuges}). A second man named Amou, whose pregnant wife died in the flood, takes revenge and kills Buoko. (Sequences \ref{ex:nrexolasau}/\ref{ex:nrexsepuep}). Amou was the last surviving member of the Inuges clan.  Originally the story was told by Sei Walup (see Section \ref{saiwalup}). For better understanding, I suggested that he should first narrate it in Tok Pisin and then repeat the story in Kilmeri. Unfortunately, the Kilmeri version is only an abridged version of the detailed Tok Pisin version and is barely comprehensible. In addition, the second version features so much code-switching, that one cannot speak of a Kilmeri text. In retrospect, it would have been better to arrange a second visit to him, focussing solely on Kilmeri.  There are some narrative differences between Sei's Tok Pisin version and Margaret's Kilmeri version. Firstly, Sei starts with an overview embedding the story into the clan context. In particular, he says that the story is not `his story', but he says in Tok Pisin: \textit{na stori bilong mi --- i no bilong mi, bilong olgeta man, man bilong mipela wanpela tokples i stap}, which means `and my story --- it isn't my story, it belongs to all people, the people of us are one language (community) for ever'. The ownership of the story is extended to the entire community of the fifteen Kilmeri-speaking villages, although it only reports on the fate of a single clan. This is an important indication that the people have a strong sense of shared identity and history. The story relates directly to the village and people of Isi. In fact, Sei mentions three place names: Ia, Isi, and Awol. Sei also confirms that the disputed body of water had another, older name: Kisi. In his introduction he says: \textit{Mi laik kirapim dispela stori nau. Nem bilong mi Sei Walup. Mi laik wokim mipela Awol stret. Mi wokim wara nau. Na Ppulae, wara Ppulae. Nem bilong em Kisi.} `I want to start with the story. My name is Sei Walup. I want to tell a story about us people in Awol. I'll tell about a small lake, about ``Bad water'' lake. Before it was called lake Kisi.' Only after the dramatic incident described in the story did the lake become known as \textit{ppulae} `bad'.   Furthermore, Sei mentions the spirit woman who lives at the bottom of the original pond. She is called \textit{memi} `grandmother' by the children. This detail is relevant, because in Sei's version it is the husband Beko, not the spirit woman, who performs the rain magic. Thus, the husband is responsible for the death of the clans. An old Nimboran myth (\cite[31]{Kouwenhoven:1956mg}) tells of the female supernatural being \textit{Indjo}, who lives in the mountain rivers in the south of the Nimboran territory and whose power was feared. Should she become angry, she would send rain and thunder and drown the earth. Given the presumed homeland of the Kilmeri people, there may be a narrative link between the Nimboran oral tradition and this Kilmeri story: Apparently the villagers broke a social rule by neglecting orphaned children, and this was penalised by the spirit woman through her command over the rain and her ability to flood the earth. Margaret Osi preserved the female nature of the creator of the flood, while Sei Walup chose a male one. He also tells us that the two orphans drown in the rising waters. The role of Buoko in Margaret's version is not entirely clear. He may have killed some survivors of the flood or people from another village nearby.   Finally, concluding the story Sei reinforces his reliability with the Tok Pisin words \textit{Olsem mi no giaman, trupela tok mi tok, \textbf{bo makina kopi muli}, tokples nau ... em tasol, sapos \textbf{app} i nogat lus em tasol, dispela stori em tasol} (Kilmeri phrases are in bold font), which translates as: `Thus I don't lie, I said the truth, I am speaking my words good, in (my) vernacular now ... that's it, if the sky is not lost, that's it, this story now ends'. This is much more than the usual formulae used at the end of stories. He emphasises the dramatic and perhaps even traumatic events.  The location of the small mountain or hill called Asaul in Sequence (\ref{ex:nrexolasau}) is unclear. However, the location of \textit{Pu ppulae}, the ‘bad water’, is known. It is a lake about 1 km long and 100-120 m wide west of the Puwani River and south-east of the settlements of Awol. Its natural origin and geological composition are unclear. While the course of the Puwani has changed to some extent over the decades -- people are aware of this -- the lake is unlikely to be an ancient branch of the river. The Google Earth view shows a blue coloured body of water, while the rivers and old river branches in the area are brownish in colour because of the sediments they carry. The lake can therefore be said to be a stagnant body of water with no obvious inflow or outflow. It is difficult to access as it is completely surrounded by reeds, and a swamp area extends about 300 metres to the east. The quality of the water is said to be poor, probably a little salty or alkaline, and it is compared to the salty sea, \textit{olsem solwara} in Tok Pisin.   \textit{Pu ppulae} is a taboo place. The inhabitants of Awol and Iulep, to whose land it belongs, do not catch fish in the lake and do not go there to bathe. People are allowed to visit the place, but may not touch it. The collective memory of the place where an ancestral clan perished is still vivid, and it is believed that it is inhabited by the spirits of the dead. White people are not normally allowed to enter the lake, but my family were escorted to the lake by the storyteller Sei Walup and two other men from the village.  People are still familiar with the ginger magic that can be used to bring about rain. On one occasion, Margaret Osi told me about a man from Isi camp who knows rain magic and who performed the ritual in very hot and dry weather. ",Margaret Osi,"Margaret Osi. 2026. The spellbound lake. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",33,
A_08_4-ome,8,Ome na Lapi,"The story goes back to the knowledge of John Sol from Isi Camp, a hamlet about 1 km from Ossima. There is a wide expanse of metre-high \textit{kunai} grass (\textit{Imperata cylindrica}) between the houses of Isi Camp and the Puwani River, which you have to cross to reach the sandy riverbank. The inhabitants of Isi Camp are from the village of Isi, 3-4 km south of Kiliwes. As they belong to the larger Imo clan, they were permitted to settle in the area of Ossima, which is also a settlement of the Imo clan. The large fissure in the earth near Kiliwes is called Yi.  The Sequences \ref{ex:nrexseiwel}-\ref{ex:nrexwilkob} are a free association that follow the actual story line. The ``exchange'' of weapons implies a sense of great loss after the arrival of the whites, who seemed to be so much stronger.  ",Margaret Osi,"Margaret Osi. 2026. Ome na Lapi. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",16,
A_09_4-bue,9,Bue,"Brigitte Esau mapped out the route through the bush by naming several places that the ancestor Wumeye visited (\figref{fig:sketchomoi}). He set off from the Pual River near Omoi. First he reached the Apilaua hillside and the Pusemo stream. Next he reached the second hill and the hamlet of Wupepp, where he spent the night. This place is mentioned in the story. Then he crossed the Puwalei stream and passed Walili, the last village (or even the last settlement?) before reaching the coast. Now he arrived at the coast at Okuli, where he made camp. People would later boil salt water at this place to extract salt.  Unfortunately, the names mentioned by Brigitte Esau could not be identified on official maps (\cite[Sheet 7192]{Australia.-Army.-Royal-Australian-Survey-Corps:1969fx}). The places were ``in use'' a century ago or even longer. Today they are only recognisable to people who are familiar with all the details of the oral history.  The text confirms the argument that the Kilmeri are an inland people who first had to ``discover'' the coast and the sea.  ",Brigitte Esau,"Brigitte Esau. 2026. Bue. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",9,
B_02_4-urbek,11,Urual bekulu,"This story depicts the encounter of a hunter with a huge lizard that is later interpreted as a bush spirit. The hunter who roamed the bush alone is killed by the lizard. The term \textit{urual} is glossed here as `lizard', because this is the translation that the people themselves gave. In order to understand the physical power of the creature it makes sense to search for its biological and scientific identity. The description in the story and further explanations by the story tellers, especially by Susan Bisam, led to the species \textit{Varanus salvadorii} (Ordo: Squamata; without rank: Toxicofera). In English it is called ``the Papuan monitor,'' which denotes a varanoid saurian endemic to New Guinea. The animal is more than 2.5 m long, and it weighs well over 6 kg. It has extremely sharp and long teeth. Its limbs and claws are very strong and look quite big compared to the body.  All these features were known to Susan Bisam, in particular the strength of its limbs and the dangerous teeth. There is no doubt that when Susan was growing up, the hunters of the time had to be wary of these animals. The habitat of \textit{Varanus salvadorii} is rainforests and swamps between the coast and the interior at altitudes of up to 600 metres. It lives in trees and jumps from branch to branch, using its long tail for balance. It feeds on small mammals, birds and eggs, but also on insects -- in swampy areas it may even feed on sago grubs. Humans are therefore not prey for these monitor lizards, but they can fall victim to their aggressiveness when competing with them for prey animals such as possums or tree kangaroos. Some species of the Varanidae family are toxic and have venom glands. It seems possible that \textit{Varanus salvadorii} also has poisonous glands, as its bites are apparently fatal.  What is said above seems to be a reasonable background for the following story. Reference to the protagonist as a ``lizard'' occurs 10 times (Sequences \ref{ex:nrexpoehur}(3x), \ref{ex:nrexmaroip}, \ref{ex:nrexkpiowo}, \ref{ex:nrexolekiu}, \ref{ex:nrexpuawom}, \ref{ex:nrexwaplay}, \ref{ex:nrexwepusu}, \ref{ex:nrexlebaul}), whereas it is referred to as ``bush spirit'' 6 times (Sequences \ref{ex:nrexolekiu}, \ref{ex:nrexpuawom}, \ref{ex:nrexlebaul}(4x)). The creature displays almost supernatural powers, as it is able to split the ironwood tree in two, in which the older brother (i.e., the victim) was hiding. This is, of course, a narrative exaggeration. Nevertheless, the base of its tail can be enormously strong.   I may add a comment on Sequence \ref{ex:nrexomosop}, which sounds more like a raid than a revenge, as it lists both traditional and modern items taken from the bush spirit. In the past, clans have indeed raided other settlements out of revenge or simply out of need.  ",Susam Bisam and,"Susam Bisam and. 2026. Urual bekulu. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",42,
B_03_4-walpop,12,Walpop bo,"The Kilmeri title of the story, \textit{Walpop bo}, was chosen by Margaret Osi herself. It translates as `story of a small turtle'. The story revolves around a small turtle whose tracks two sisters saw on the riverbank while catching fish. The word \textit{walpop} refers to a small kind of turtle. Such an animal does not have much meat, and therefore provides only a small addition to a meal. Nevertheless, one of the sisters wants to get it, even though they have already filled two baskets with fish. Climbing the often steep bank of a river can be dangerous as one might lose one's hold. The story could therefore be read as a warning not to do anything rash that is not worthwhile.   Further on, the story features a man who helps the unfortunate sister and takes her back to her village and her family. The generous behaviour of a stranger is culturally surprising. Normally, a stranger would seduce a lonely woman whom he meets by chance in the forest. Here, the contrary is happening.  ",Susan Bisam and Margaret Osi,"Susan Bisam and Margaret Osi. 2026. Walpop bo. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",43,
B_05_4-kusu,14,Kukumbina na Kusudua,"While catching fish in a river, one of two sisters is tricked by a bush spirit. She seemed to be lucky, but the many fish she had caught turned out to be the gift of an evil spirit. The spirit did not show itself at the river, but only appeared on her family's doorstep the next morning. Then it demanded that the girl marry it. There was no way out of this situation and, thus, the girl Kusudua followed it down into the river, where both changed into snakes.  It is interesting to note that the sisters fished separately. One is said to have stayed upstream, the other downstream. This fact may indicate a potentially dangerous situation, as the sisters cannot help each other if one of them falls and is caught in a whirlpool. The story could therefore be understood as a warning to stay together and not fish on slippery rocks in the middle of the river. Otherwise one could drown. ",Brigitte Esau,"Brigitte Esau. 2026. Kukumbina na Kusudua. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",25,
B_06_4-paek,15,Pu paek,"A father is accompanied by his son on a hunting trip into the bush. The son is told to stay near the bush hut while the father goes hunting alone. Left alone, the son is visited by a bush spirit. The spirit measures the beds to find out which is his father's bed. It also warns the child that it will come back the next night and eat his father. The son is suspicious of the visitor and tells his father everything. The father doesn't believe a word he says and just wants him to enjoy the delicious food. But the son is right, and that night the bush spirit returns and kills the father. The clan then takes revenge and kills the bush spirit.  The moral of the story is that the deep forest is always a potentially dangerous place. One must always exercise caution. Certainly it is not the right place to eat large meals and then rest in a sound sleep without hearing warning noises. This is exactly what happened to the father. When transcribing the text with Margaret Osi, she told me that the father's sleeping position indicates deep sleep (Sequence \ref{ex:t2exvonuro}). So the father did not demonstrate the kind of behaviour required to withstand the challenges of the bush.  Some remarks to style and grammar of the narrator: Although grammatically mandatory, the narrator rarely uses the affixal dual of the verb. Instead, he often uses the prefix of accompaniment with a similar function. He also makes frequent use of topicalised pronouns for emphasis, while emphatic pronouns are not used. Furthermore, the text shows code-switching to Tok Pisin.  ",Andrew Wapi ,"Andrew Wapi . 2026. Pu paek. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",54,
B_07_4-sele,16,Ruri onona ruri pialna,"A woman and her husband were staying in a bush camp when she was seduced by a bush spirit. She gave birth to twins, a human-like child and a snake-like child. In the early years of their childhood, the two unequal brothers lived together peacefully. As young adults, however, the snake-like brother began to behave like a real bush spirit. When they both went hunting, it killed its human brother. The clueless parents find the snake at home and beat it to death. In the end, the parents lost both of their sons.  The story may convey the following message: A husband should always keep an eye on his wife. If she gets pregnant by some other man, the sons will fight over their rank. Murder and revenge may ruin the family.  There is repeated code switching to Tok Pisin, for example in Sequences \ref{ex:nrexloples}, \ref{ex:nrexilaiki}, \ref{ex:nrexlaikig}, \ref{ex:nrexpasimt}, and \ref{ex:nrexlukaut}. Andrew Wapi's personal Kilmeri style makes very frequent use of the subordinating verb form for backgrounding (12 times) and tail-head linkage (10 times) for discourse coherence. ",Andrew Wapi ,"Andrew Wapi . 2026. Ruri onona ruri pialna. In Claudia Gerstner-Link (ed.), Clans, spirits, land and food Kilmeri texts. Berlin: Language Science Press.",50,
